"name","n_kde_cells","n_na_cells","percent_na"
"Alkefjellet_NOS.4182663_2017",452,71,15.7079646017699
"Alkefjellet_NOS.4182663_2018",500,97,19.4
"Alkefjellet_NOS.4182664_2016",445,174,39.1011235955056
"Alkefjellet_NOS.4182664_2017",398,90,22.6130653266332
"Alkefjellet_NOS.4182664_2018",378,79,20.8994708994709
"Alkefjellet_NOS.4182664_2019",551,236,42.8312159709619
"Alkefjellet_NOS.4182664_2020",381,88,23.0971128608924
"Alkefjellet_NOS.4182665_2016",626,120,19.1693290734824
"Alkefjellet_NOS.4182665_2017",468,117,25
"Alkefjellet_NOS.4182667_2018",609,165,27.0935960591133
"Alkefjellet_NOS.4182667_2019",903,420,46.5116279069767
"Alkefjellet_NOS.4186205_2020",474,124,26.1603375527426
"Bjørnøya_NOS.4181262_2014",417,69,16.5467625899281
"Bjørnøya_NOS.4181262_2015",390,75,19.2307692307692
"Bjørnøya_NOS.4181268_2015",347,88,25.3602305475504
"Bjørnøya_NOS.4181271_2015",579,192,33.160621761658
"Bjørnøya_NOS.4182521_2014",385,76,19.7402597402597
"Bjørnøya_NOS.4182523_2014",427,97,22.7166276346604
"Bjørnøya_NOS.4182523_2015",378,75,19.8412698412698
"Bjørnøya_NOS.4182523_2016",409,113,27.6283618581907
"Bjørnøya_NOS.4182525_2014",434,62,14.2857142857143
"Bjørnøya_NOS.4182526_2014",431,129,29.9303944315545
"Bjørnøya_NOS.4182526_2015",436,99,22.7064220183486
"Bjørnøya_NOS.4182526_2016",612,191,31.2091503267974
"Bjørnøya_NOS.4182528_2014",491,115,23.4215885947047
"Bjørnøya_NOS.4182528_2015",461,92,19.9566160520607
"Bjørnøya_NOS.4182528_2016",457,89,19.4748358862144
"Bjørnøya_NOS.4182531_2014",366,94,25.6830601092896
"Bjørnøya_NOS.4182531_2015",474,151,31.8565400843882
"Bjørnøya_NOS.4182531_2016",484,147,30.3719008264463
"Bjørnøya_NOS.4182533_2014",358,78,21.7877094972067
"Bjørnøya_NOS.4182533_2015",439,100,22.7790432801822
"Bjørnøya_NOS.4182533_2016",555,162,29.1891891891892
